Zip,Lat,Long
10309,40.5395224, -74.2308266
10310,40.6422286, -74.1121243
10310,40.633799, -74.1118714
10310,40.6258789, -74.1096443
10310,40.6286776, -74.1188468
10310,40.6355984, -74.1189103
10310,40.6358875, -74.1235004
10310,40.6288617, -74.1268936
10311,40.5801048, -74.1636581
10312,40.5360199, -74.1618034
10312,40.5314236, -74.1553663
10312,40.5385208, -74.1819957
10312,40.5578991, -74.1890985
10312,40.5429309, -74.1895874
10312,40.5456376, -74.1702297
10312,40.5529791, -74.1734596
10312,40.5505833, -74.1969608
10312,40.5484415, -74.1942561
10312,40.5512814, -74.1824317
10312,40.5586998, -74.17761
10312,40.5252077, -74.1711061
10312,40.5660394, -74.2030243
10312,40.5784063, -74.1769344
10314,40.6195298, -74.1275942
10314,40.6052791, -74.1182769
10314,40.6107434, -74.1272545
10314,40.6033616, -74.128907
10314,40.6043769, -74.1237416
10314,40.6119223, -74.140048
10314,40.6050832, -74.1379801
10314,40.6169844, -74.1352404
10314,40.6180182, -74.146035
10314,40.5996828, -74.1521427
10314,40.595528, -74.1387179
10314,40.5854221, -74.1515103
10314,40.5882479, -74.156982
10314,40.5909369, -74.1619016
10314,40.6111984, -74.1906935
10314,40.6137234, -74.1635029
10314,40.6076064, -74.1745417
10314,40.5973644, -74.1651641
10314,40.6189198, -74.15612
10451,40.8132061, -73.9275676
10451,40.8241059, -73.9234371
10451,40.8222497, -73.9226729
10451,40.8299696, -73.926411
10451,40.8173983, -73.9216592
10451,40.8218666, -73.9157567
10451,40.8237653, -73.912295
10451,40.8277474, -73.9121298
10451,40.826296, -73.9165227
10451,40.8286371, -73.9208133
10452,40.8212801, -73.928879
10452,40.8317231, -73.9302072
10452,40.8363471, -73.929323
10452,40.8304774, -73.9225235
10452,40.8352051, -73.9199778
10452,40.8367437, -73.925447
10452,40.8421586, -73.9269632
10452,40.8430704, -73.9150173
10452,40.8403976, -73.9235077
10452,40.8455444, -73.9198231
10452,40.8430485, -73.9203798
10452,40.8396448, -73.9196221
10452,40.8382778, -73.9181232
10452,40.8376586, -73.9160957
10452,40.8405251, -73.9150885
10452,40.8444792, -73.9132689
10453,40.8521987, -73.9217824
10453,40.8474128, -73.9236562
10453,40.8513754, -73.9194914
10453,40.849466, -73.9182452
10453,40.8480444, -73.9167104
10453,40.8481818, -73.9133082
10453,40.8468041, -73.9110601
10453,40.8495612, -73.9087543
10453,40.8521471, -73.9045719
10453,40.8562675, -73.9019054
